Location,Latitude,Longitude
Ahilyanagar Bus Stand,19.1027∘N,74.7431∘E
MIDC Area,19.1562∘N,74.7010∘E
Savedi,19.1162∘N,74.7354∘E
Shirdi Road,19.8200∘N,74.4700∘E
Kopargaon Bus Stand,19.8891∘N,74.4822∘E
Kopargaon Market,19.8915∘N,74.4845∘E
Rahata Village,19.7541∘N,74.4812∘E
Shirdi Temple Area,19.7645∘N,74.4752∘E
Puntamba Road,19.8850∘N,74.4900∘E
Kolpewadi,19.8938∘N,74.3624∘E
Sangamner Bus Stand,19.5772∘N,74.2091∘E
Station Road Ahilyanagar,19.0881∘N,74.7432∘E
Pipeline Road,19.1230∘N,74.7310∘E
Rahata Market,19.7560∘N,74.4830∘E
Shirdi Airport Road,19.6912∘N,74.3845∘E
Jejuri Road,18.2750∘N,74.1620∘E
Kolhar Road,19.5540∘N,74.5240∘E
Kopargaon Railway Station,19.9234∘N,74.4449∘E
Savedi Chowk,19.1180∘N,74.7360∘E
MIDC Chowk,19.1580∘N,74.7030∘E
Shirdi Bus Stand,19.7670∘N,74.4730∘E
Nagar College Road,19.0960∘N,74.7390∘E
Pathardi Road,19.1000∘N,74.7600∘E
Rahuri Road,19.3892∘N,74.6501∘E
Belapur Road,19.5800∘N,74.6500∘E
Kolpewadi School Area,19.8950∘N,74.3640∘E
Puntamba Bridge,19.7650∘N,74.6150∘E
Shirdi Rahata Road,19.7600∘N,74.4780∘E
Sinnar Road,19.8800∘N,74.4600∘E
Chitali Road,19.7800∘N,74.5500∘E
Kopargaon Shivaji Chowk,19.8872∘N,74.4855∘E
Kopargaon MIDC Gate,19.8820∘N,74.4650∘E
Godavari Bridge Kopargaon,19.8975∘N,74.4802∘E
Market Chowk Kopargaon,19.8912∘N,74.4842∘E
Railway Gate Kopargaon,19.9100∘N,74.4600∘E
Old City Kopargaon,19.8950∘N,74.4870∘E
Bus Stand Exit Kopargaon,19.8895∘N,74.4825∘E
Kopargaon Bus Stand,19.8891∘N,74.4822∘E
Kopargaon Market Road,19.8910∘N,74.4840∘E
Kopargaon Market Road,19.8910∘N,74.4840∘E
Kopargaon Railway Station,19.9234∘N,74.4449∘E
Kopargaon MIDC Internal Road,19.8815∘N,74.4645∘E
Kopargaon Sugar Factory Road,19.8700∘N,74.4900∘E
Kopargaon Sugar Factory Road,19.8700∘N,74.4900∘E
Kopargaon College Road,19.8885∘N,74.4753∘E
Kopargaon College Road,19.8885∘N,74.4753∘E
Kopargaon Hospital Road,19.8905∘N,74.4800∘E
Kopargaon Hospital Road,19.8905∘N,74.4800∘E
Kopargaon Court Area,19.8920∘N,74.4841∘E
Kopargaon Court Area,19.8920∘N,74.4841∘E
Kopargaon Shivaji Chowk,19.8872∘N,74.4855∘E
Kopargaon Shivaji Chowk,19.8872∘N,74.4855∘E
Kopargaon Main Road NH160,19.8860∘N,74.4830∘E
Kopargaon Main Road NH160,19.8860∘N,74.4830∘E
Kopargaon Rahata Road Junction,19.8855∘N,74.4820∘E
Kopargaon Rahata Road Junction,19.8855∘N,74.4820∘E
Kopargaon Puntamba Road Entry,19.8852∘N,74.4890∘E
Kopargaon Puntamba Road Entry,19.8852∘N,74.4890∘E
Kopargaon Kolpewadi Road,19.8900∘N,74.4600∘E
Kopargaon Kolpewadi Road,19.8900∘N,74.4600∘E
Kopargaon Godavari Bridge,19.8975∘N,74.4802∘E
Kopargaon Godavari Bridge,19.8975∘N,74.4802∘E
Kopargaon Bus Depot Chowk,19.8890∘N,74.4820∘E
Kopargaon Bus Depot Chowk,19.8890∘N,74.4820∘E
Kopargaon Market Chowk,19.8912∘N,74.4842∘E
Kopargaon Market Chowk,19.8912∘N,74.4842∘E
Kopargaon Police Station Road,19.8930∘N,74.4850∘E
Kopargaon Police Station Road,19.8930∘N,74.4850∘E
Kopargaon Bus Stand Internal,19.8891∘N,74.4822∘E
Kopargaon Bus Stand Internal,19.8891∘N,74.4822∘E
Kopargaon Petrol Pump Area,19.8880∘N,74.4835∘E
Kopargaon Petrol Pump Area,19.8880∘N,74.4835∘E
Kopargaon Railway Gate,19.9105∘N,74.4595∘E
Kopargaon Railway Gate,19.9105∘N,74.4595∘E
Kopargaon Old City Area,19.8955∘N,74.4875∘E
Kopargaon Old City Area,19.8955∘N,74.4875∘E
Kopargaon Bus Stand Road Exit,19.8896∘N,74.4826∘E
Kopargaon Bus Stand Road Exit,19.8896∘N,74.4826∘E
